,name,latitude,longitude,hours,description
11,Caffe Reggio,40.730265,-74.000457,"Mon-Fri 12:00 AM-3:00 AM, 8:00 AM-11:59 PM; Sat-Sun 12:00 AM-4:30 AM, 8:00 AM-11:59 PM","{'payment': {'credit_cards': {'accepts_credit_cards': False, 'amex': False, 'discover': False, 'visa': False, 'diners_club': False, 'master_card': False, 'union_pay': False}, 'digital_wallet': {'accepts_nfc': False}}, 'food_and_drink': {'alcohol': {'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'brunch': True, 'lunch': True, 'happy_hour': False, 'dinner': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': True, 'wifi': 't'}, 'attributes': {'clean': 'Average', 'crowded': 'Great', 'dates_popular': 'Great', 'dressy': 'Poor', 'families_popular': 'Average', 'good_for_dogs': 'Poor', 'groups_popular': 'Poor', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Average', 'trendy': 'Great'}}"
12,Peter McManus Cafe,40.741834,-73.997551,Open Daily 12:00 AM-4:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True}, 'meals': {'brunch': False, 'happy_hour': False}}, 'services': {'delivery': False, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}, 'attributes': {'clean': 'Great', 'crowded': 'Average', 'dates_popular': 'Poor', 'dressy': 'Poor', 'gluten_free_diet': 'Average', 'groups_popular': 'Great', 'noisy': 'Average', 'service_quality': 'Great', 'singles_popular': 'Average', 'special_occasion': 'Poor', 'trendy': 'Poor', 'value_for_money': 'Great'}}"
13,Cafe 53,40.761787,-73.980033,Open Daily 12:00 AM-11:59 PM,"{'food_and_drink': {'alcohol': {'full_bar': False}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}}"
14,Bar Veloce,40.730696,-73.986546,Open Daily 12:00 AM-3:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'happy_hour': True}}, 'services': {'dine_in': {'reservations': True}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}, 'attributes': {'clean': 'Great', 'dates_popular': 'Great', 'dressy': 'Average', 'groups_popular': 'Great', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Poor', 'romantic': 'Great', 'service_quality': 'Great', 'singles_popular': 'Average', 'special_occasion': 'Great', 'trendy': 'Average', 'value_for_money': 'Great'}}"
15,Shade,40.729864,-73.999306,Open Daily 12:00 AM-4:00 AM,"{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'beer': True, 'cocktails': True, 'full_bar': True, 'wine': True}, 'meals': {'brunch': False, 'happy_hour': True}}, 'services': {'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False}, 'attributes': {'dates_popular': 'Great', 'groups_popular': 'Average', 'service_quality': 'Great', 'value_for_money': 'Great'}}"
16,Split Eights,40.705833,-74.010315,"Open Daily 12:00 AM-2:00 AM, 8:00 AM-3:00 PM, 4:00 PM-12:00 AM",{'food_and_drink': {'alcohol': {'cocktails': True}}}
18,Toast,40.750653,-73.986717,Open Daily 12:00 AM-11:59 PM,"{'food_and_drink': {'meals': {'breakfast': True, 'lunch': True}}}"
19,Washington Square Diner,40.731445,-74.000678,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'alcohol': {'cocktails': True, 'full_bar': True}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False, 'dinner': True}}, 'services': {'delivery': True, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'live_music': False, 'outdoor_seating': False, 'wifi': 'n'}, 'attributes': {'business_meeting': 'Poor', 'clean': 'Average', 'good_for_dogs': 'Average', 'groups_popular': 'Great', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Average', 'value_for_money': 'Great'}}"
20,The Flame Diner,40.768546,-73.98554,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True, 'amex': True, 'discover': True, 'visa': True, 'master_card': True}}, 'food_and_drink': {'alcohol': {'bar_service': True, 'cocktails': True, 'full_bar': False}, 'meals': {'breakfast': True, 'brunch': True, 'lunch': True, 'happy_hour': False, 'dinner': True}}, 'services': {'delivery': True, 'takeout': True, 'drive_through': False, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'restroom': True, 'smoking': False, 'jukebox': False, 'music': False, 'live_music': False, 'private_room': False, 'outdoor_seating': False, 'tvs': False, 'atm': False, 'coat_check': False, 'wheelchair_accessible': False, 'parking': {'parking': True, 'street_parking': True, 'valet_parking': False, 'public_lot': False, 'private_lot': False}, 'sit_down_dining': True, 'wifi': 'n'}, 'attributes': {'clean': 'Great', 'families_popular': 'Great', 'good_for_dogs': 'Poor', 'groups_popular': 'Average', 'late_night': 'Great', 'noisy': 'Average', 'quick_bite': 'Great', 'service_quality': 'Great', 'value_for_money': 'Great'}}"
21,ABC Cafeteria,40.772844,-73.980246,Open Daily 12:00 AM-11:59 PM,"{'payment': {'credit_cards': {'accepts_credit_cards': True}}, 'food_and_drink': {'meals': {'lunch': True}}, 'services': {'delivery': False, 'dine_in': {'reservations': False, 'groups_only_reservations': False, 'essential_reservations': False}}, 'amenities': {'outdoor_seating': False}}"
